App No.	Attorney	Case Ref	Client	Applicant name	Status
	Ngô Thị Phương Hoa	IP/PR17653	WeThePeople IP & Law Firm	LG ENERGY SOLUTION, LTD.	
1-2022-05292	Ngô Lệ Quyên	IP/PR17652/CDD	PONS IP, S.A.	KIMITEC BIOGROUP, S.L.	Requested
	Phạm Thị Cúc - IP	IP/PR17651	NGB Corporation	YKK CORPORATION	
	Phạm Hiếu Thắng	IP/PR17650	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Phi Long	IP/PR17649	WeThePeople IP & Law Firm	LG ENERGY SOLUTION, LTD.	
	Ngô Thu Hà	IP/PR17648	Spruson & Ferguson (Asia) Pte Ltd	Clariant International Ltd	
	Lã Thị Bích Ngọc	IP/PR17647	Spruson & Ferguson (Asia) Pte Ltd	Clariant International Ltd	
	Nguyễn Thị Thu Hiền	IP/PR17646	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Nguyễn Thị Thu Hiền	IP/PR17645	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Nguyễn Thị Sao Mai	IP/PR17644	Spruson & Ferguson (Asia) Pte Ltd	INCYTE CORPORATION	
	Ngô Thị Phương Hoa	IP/PR17643	DAE-A Intellectual Property Consulting	LG ENERGY SOLUTION, LTD.	
	Nguyễn Thị Mỹ Hương	IP/PR17642	CCPIT Patent and Trademark Law Office	"CHINA PETROLEUM & CHEMICAL CORPORATION
 SINOPEC (BEIJING) RESEARCH INSTITUTE OF CHEMICAL INDUSTRY CO., LTD."	
	Nguyễn Thùy Linh	IP/PR17641	KORYO IP & LAW	Samsung Display Co., Ltd.	
	Lê Thị Hồng	IP/PR17640	KORYO IP & LAW	Samsung Display Co., Ltd.	
	Nguyễn Thu Trang	IP/PR17639	Spruson & Ferguson (Asia) Pte Ltd	INCYTE CORPORATION	
	Phạm Hiếu Thắng	IP/PR17638	PHIL & ONZI Int'l Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
1-2026-02959	Phạm Thị Cúc - IP	IP/PR17637/DV	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	Requested
	Lã Quỳnh Nga	IP/PR17636	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
	Trần Thị Hà	IP/PR17635	C&S Patent and Law Office	POSCO CO., LTD	
	Ngô Thị Phương Hoa	IP/PR17634	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Thị Thu Hiền	IP/PR17633	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Nguyễn Thị Thu Hiền	IP/PR17632	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Nguyễn Thị Thu Hiền	IP/PR17631	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Nguyễn Ngọc Hà My	IP/PR17630	Spruson & Ferguson (Asia) Pte Ltd	OTSUKA PHARMACEUTICAL CO., LTD.	
	Lê Trung Hiếu	IP/PR17629	Kobe IP, LLC	BAOSHAN IRON & STEEL CO., LTD.	
	Ngô Thị Phương Hoa	IP/PR17628	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Phi Long	IP/PR17627	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Phạm Hiếu Thắng	IP/PR17626	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Ngô Lệ Quyên	IP/PR17625	CCPIT Patent and Trademark Law Office	"CHINA PETROLEUM & CHEMICAL CORPORATION
 SINOPEC (BEIJING) RESEARCH INSTITUTE OF CHEMICAL INDUSTRY CO., LTD."	
	Nguyễn Vũ Nam	IP/PR17624/DV	Arjomand Law Group, PLLC	"Michael H. Panosian
 Joshua M. Keeler"	Filed
	Đặng Thị Phương Dung	IP/PR17623	ARENTFOX SCHIFF LLP	OURA HEALTH OY	
	Nguyễn Phi Long	IP/PR17622	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Lê Quang Hải	IP/PR17621	Beijing Hangxin High-tech Intellectual Property Agency	JONHON OPTRONIC TECHNOLOGY CO., LTD.	
1-2026-02895	Đặng Thị Phương Dung	IP/PR17620/DV	QUS International Patent & Law Firm	WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.	Requested
	Trần Thị Hà	IP/PR17619	Sundial (Intellectual Property Office)	LITE-ON TECHNOLOGY CORPORATION	
	Trần Thị Hà	IP/PR17618	Sundial (Intellectual Property Office)	LITE-ON TECHNOLOGY CORPORATION	
1-2026-02892	Lã Quỳnh Nga	IP/PR17617	BakerHostetler	INTERBLOCK D.O.O.	Filed
	Trần Thị Hà	IP/PR17616/DV	Spruson & Ferguson (Asia) Pte Ltd	Juul Labs, Inc.	Requested
1-2026-02723	Nguyễn Thị Sao Mai	IP/PR17615/DV	Spruson & Ferguson (Asia) Pte Ltd	FRIESLANDCAMPINA NEDERLAND B.V.	Filed
	Ngô Thị Phương Hoa	IP/PR17614	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Phạm Hiếu Thắng	IP/PR17613	Lee & Ko IP	LG ENERGY SOLUTION, LTD.	
1-2026-02703	Nguyễn Thị Sao Mai	IP/PR17612/DV	Spruson & Ferguson (Asia) Pte Ltd	REGENERON PHARMACEUTICALS, INC.	Requested
	Lê Thị Hồng	IP/PR17611	MUHANN Patent & Law Firm	SAMSUNG ELECTRONICS CO., LTD.	
1-2023-01181	Ngô Lệ Quyên	IP/PR17610/CDD	S. MAJUMDAR & CO.	RAJDHANI PETROCHEMICALS PRIVATE LIMITED	Requested
1-2023-00987	Ngô Lệ Quyên	IP/PR17609/CDD	S. MAJUMDAR & CO.	RAJDHANI PETROCHEMICALS PRIVATE LIMITED	Requested
1-2023-08204	Ngô Lệ Quyên	IP/PR17608/CDD	S. MAJUMDAR & CO.	RAJDHANI PETROCHEMICALS PRIVATE LIMITED	Requested
1-2023-00988	Ngô Lệ Quyên	IP/PR17607/CDD	S. MAJUMDAR & CO.	RAJDHANI PETROCHEMICALS PRIVATE LIMITED	Requested
	Phạm Hiếu Thắng	IP/PR17606	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Thùy Dương	IP/PR17605	ABE, IKUBO & KATAYAMA	SUNTORY HOLDINGS LIMITED	
	Trần Thị Thanh Giang	IP/PR17604	WOOD & WU Patent and Trademark Office		
	Ngô Thị Phương Hoa	IP/PR17603	BAE, KIM & LEE	LG ENERGY SOLUTION, LTD.	
	Nguyễn Vũ Nam	IP/PR17602	RWS	Chr. Hansen A/S	
	Trần Ngọc Quang	IP/PR17601	SAMSUNG ELECTRONICS CO., LTD.	SAMSUNG ELECTRONICS CO., LTD.	
	Nguyễn Xuân Sáng	IP/PR17600	SAMSUNG ELECTRONICS CO., LTD.	SAMSUNG ELECTRONICS CO., LTD.	
	Nguyễn Phi Long	IP/PR17599	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Vũ Nam	IP/PR17598	Spruson & Ferguson (Asia) Pte Ltd	TSURUMI MANUFACTURING CO., LTD.	
	Đặng Thị Phương Dung	IP/PR17597		KCC CORPORATION	
	Ngô Thị Phương Hoa	IP/PR17596	Saeon Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
	Nguyễn Thu Trang	IP/PR17595	Spruson & Ferguson (Asia) Pte Ltd	AVIDITY BIOSCIENCES, INC.	
	Lã Quỳnh Nga	IP/PR17594	OCHANOMIZU INTERNATIONAL PATENT OFFICE	YKK CORPORATION	
	Nguyễn Thùy Linh	IP/PR17593	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
	Lê Nguyệt Hạ Phượng	IP/PR17592	RWS	NOVOZYMES A/S	
1-2026-02966	Lê Quang Hải	IP/PR17591	DONALDSON & BURKINSHAW	Proterial, Ltd.	Filed
	Lã Thị Bích Ngọc	IP/PR17590	Shiga International Patent Office	"OJI HOLDINGS CORPORATION
 HARIMA CHEMICALS, INC."	
1-2026-02593	Lê Trung Hiếu	IP/PR17589	King & Wood	Techtronic Cordless GP	Filed
	Nguyễn Thị Mỹ Hương	IP/PR17588	UNITALEN ATTORNEYS AT LAW	SHANGHAI ARGO BIOPHARMACEUTICAL CO., LTD.	
	Nguyễn Thị Sao Mai	IP/PR17587	NGB Corporation	UACJ CORPORATION	
	Nguyễn Thị Thu Hiền	IP/PR17586	CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY VINROBOTICS	Tập đoàn Vingroup - Công ty CP	
	Ngô Thu Hà	IP/PR17585	UNITALEN ATTORNEYS AT LAW	SHANGHAI ARGO BIOPHARMACEUTICAL CO., LTD.	
	Nguyễn Thùy Linh	IP/PR17584	MUHANN Patent & Law Firm	SAMSUNG ELECTRONICS CO., LTD.	
	Phạm Hiếu Thắng	IP/PR17583	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Phạm Hiếu Thắng	IP/PR17582	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Trần Thị Hà	IP/PR17581	C&S Patent and Law Office	POSCO CO., LTD	
1-2026-02728	Lã Thị Bích Ngọc	IP/PR17580/DV	Spruson & Ferguson (Asia) Pte Ltd	"KING'S COLLEGE, LONDON
 GAMMADELTA THERAPEUTICS LIMITED"	Requested
	Phạm Hiếu Thắng	IP/PR17579	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Thùy Linh	IP/PR17578	Taiyo, Nakajima & Kato	TOYOTA JIDOSHA KABUSHIKI KAISHA	
	Trần Thị Thanh Giang	IP/PR17577	Spruson & Ferguson (Asia) Pte Ltd	ALIBABA (CHINA) CO., LTD.	
	Lê Quang Hải	IP/PR17576	Spruson & Ferguson (Asia) Pte Ltd	GRABTAXI HOLDINGS PTE. LTD.	
1-2026-02506	Nguyễn Thị Mỹ Hương	IP/PR17575	Spruson & Ferguson (Asia) Pte Ltd	TREELINE BIOSCIENCES, INC.	Filed
	Phạm Thị Cúc - IP	IP/PR17574	Y.P. Lee, Mock & Partners	SAMSUNG ELECTRONICS CO., LTD.	
	Nguyễn Thùy Linh	IP/PR17573	Klarquist Sparkman, LLP	NIKE INNOVATE C.V.	
	Phạm Hiếu Thắng	IP/PR17572	Saeon Patent & Law Firm	LG ENERGY SOLUTION, LTD.	
	Lê Thị Hồng	IP/PR17571	Kwang & Jang Intellectual Property Law Firm	SAMSUNG ELECTRONICS CO., LTD.	
	Trần Thị Thanh Giang	IP/PR17570	MUHANN Patent & Law Firm	SAMSUNG ELECTRONICS CO., LTD.	
1-2026-02460	Lã Thị Bích Ngọc	IP/PR17569/DV	Spruson & Ferguson (Asia) Pte Ltd	O2 PARTNERS, LLC	Requested
1-2026-02553	Lã Thị Bích Ngọc	IP/PR17568	Shiga International Patent Office	MITSUBISHI CHEMICAL CORPORATION	Filed
1-2026-02803	Nguyễn Ngọc Hà My	IP/PR17567	Spruson & Ferguson (Asia) Pte Ltd	Clariant International Ltd	Requested
	Lê Thị Hồng	IP/PR17566	BAE, KIM & LEE IP	KCC CORPORATION	
1-2026-02605	Đặng Thị Phương Dung	IP/PR17565	FPA Patent Attorneys	OTSUKA PHARMACEUTICAL FACTORY, INC.	Filed
1-2026-02417	Lê Quang Hải	IP/PR17564/DV	Yusarn Audrey LLC	ECOMMERCE ENABLERS PTE. LTD.	Requested
	Phạm Hiếu Thắng	IP/PR17563	Lee & Ko IP	LG ENERGY SOLUTION, LTD.	
1-2026-02419	Nguyễn Thị Thu Hiền	IP/PR17562/DV	Spruson & Ferguson (Asia) Pte Ltd	INCYTE CORPORATION	Requested
	Lê Trung Hiếu	IP/PR17561	Manmin IP & Law Firm	WES TEC GLOBAL CO., LTD.	
1-2026-02554	Nguyễn Vũ Nam	IP/PR17560	DONALDSON & BURKINSHAW	Proterial, Ltd.	Filed
	Nguyễn Thùy Dương	IP/PR17559	Shanghai Patent & Trademark Law Office	SHANGFUSHAFEI (SHANGHAI) BIOTECHNOLOGY CO., LTD	
	Trần Thị Hà	IP/PR17558	Clarivate Analytics (UK) Ltd	NIKE INNOVATE C.V.	
	Trần Thị Thanh Giang	IP/PR17557	PanKorea Patent & Law Firm	Samsung Display Co., Ltd.	
	Nguyễn Thị Hoài Thơ	IP/PR17556	Spruson & Ferguson (Asia) Pte Ltd	GRABTAXI HOLDINGS PTE. LTD.	
	Nguyễn Thùy Linh	IP/PR17555	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
	Lã Quỳnh Nga	IP/PR17554	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
1-2026-02367	Nguyễn Phi Long	IP/PR17553/DV	HanYang International patent and law firm	"ELECTRONICS AND TELECOMMUNICATIONS RESEARCH INSTITUTE
 HANBAT NATIONAL UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION "	Requested
1-2026-02961	Nguyễn Thùy Dương	IP/PR17552	FPA Patent Attorneys	HANMI PHARMACEUTICAL CO., LTD.	Requested
1-2026-02416	Lê Quang Hải	IP/PR17551/DV	QUS International Patent & Law Firm	WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.	Requested
	Lã Quỳnh Nga	IP/PR17550	Beijing Yuanzhong Intellectual Property Agent Ltd.	"QINGDAO HAIER WASHING MACHINE CO., LTD.
 HAIER SMART HOME CO., LTD."	
	Ngô Lệ Quyên	IP/PR17549	Pizzeys Patent and Trademark Attorneys	INCRELAND	
1-2026-02889	Nguyễn Thùy Linh	IP/PR17548	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	Requested
1-2026-02609	Lã Thị Bích Ngọc	IP/PR17547	Shiga International Patent Office	MITSUBISHI MATERIALS CORPORATION	Filed
	Lê Quang Hải	IP/PR17546	Spruson & Ferguson (Asia) Pte Ltd	GRABTAXI HOLDINGS PTE. LTD.	
1-2026-02365	Nguyễn Hậu Sinh	IP/PR17545/DV	Pizzeys Patent & Trademark Attorneys Pty Ltd	Revolution Medicines, Inc.	Requested
1-2026-02551	Nguyễn Xuân Sáng	IP/PR17544/DV	Spruson & Ferguson (Asia) Pte Ltd	UL LLC	Requested
1-2026-02674	Ngô Thu Hà	IP/PR17543	Viering, Jentschura & Partner LLP	"JIANGSU HENGRUI PHARMACEUTICALS CO., LTD.
 SHANGHAI HENGRUI PHARMACEUTICAL CO., LTD."	Filed
	Nguyễn Thu Trang	IP/PR17542	FPA Patent Attorneys	LEPU BIOPHARMA CO., LTD.	
	Lã Thị Bích Ngọc	IP/PR17541	BINGO IP	SUPER NANO DESIGN CO.,LTD.	
	Nguyễn Thị Thu Hiền	IP/PR17540	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	
	Nguyễn Thị Thu Hiền	IP/PR17539	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	
	Nguyễn Thị Thu Hiền	IP/PR17538	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VINFAST	
1-2026-02490	Lã Quỳnh Nga	IP/PR17537/DV	HUAWEI TECHNOLOGIES CO., LTD.	HUAWEI TECHNOLOGIES CO., LTD.	Requested
	Lê Quang Hải	IP/PR17536	Spruson & Ferguson (Asia) Pte Ltd	GRABTAXI HOLDINGS PTE. LTD.	
	Lê Trung Hiếu	IP/PR17535	Pecher & Partners	PRAYON	
	Nguyễn Hoàng Anh	IP/PR17534	DCC Advanz Malaysia Sdn Bhd	ASHLEY FURNITURE INDUSTRIES, LLC	
1-2026-02550	Phạm Thị Cúc - IP	IP/PR17533/DV	Spruson & Ferguson (Asia) Pte Ltd	LG ELECTRONICS INC.	Requested
1-2026-02555	Trần Thị Hà	IP/PR17532/DV	Pizzeys Patent and Trademark Attorneys	IPG PHOTONICS CORPORATION	Requested
1-2025-09636	Lã Thị Bích Ngọc	IP/PR17531/CDD	Spruson & Ferguson (Asia) Pte Ltd	SCOHIA PHARMA, INC.	Requested
1-2026-02801	Phạm Thị Cúc - IP	IP/PR17530	YAMAKAWA International Patent Office	Silhouette Japan Corporation	Requested
1-2026-02761	Nguyễn Thị Sao Mai	IP/PR17529	Spruson & Ferguson (Asia) Pte Ltd	ALTEROME THERAPEUTICS, INC.	Filed
	Nguyễn Ngọc Yến	IP/PR17528	FUKUSHIMA PATENT FIRM	ACECOOK CO., LTD.	
	Trần Thị Thanh Giang	IP/PR17527	LIN PATENT FIRM	CUCKOO ELECTRONICS CO., LTD.	
1-2026-02225	Nguyễn Thị Thanh Hoài	IP/PR17526/DV	Spruson & Ferguson (Asia) Pte Ltd	AMGEN INC.	Requested
1-2026-02266	Phạm Thị Cúc - IP	IP/PR17525/DV	Maru Intellectual Property Law	INDUSTRY ACADEMY COOPERATION FOUNDATION OF SEJONG UNIVERSITY	Requested
1-2026-02503	Nguyễn Thùy Linh	IP/PR17524	King & Wood	Techtronic Cordless GP	Filed
	Nguyễn Hậu Sinh	IP/PR17523	Spruson & Ferguson (Asia) Pte Ltd	"HANSOH BIO LLC
 SHANGHAI HANSOH BIOMEDICAL CO., LTD.
 CHANGZHOU HANSOH PHARMACEUTICAL CO., LTD."	
	Lê Trung Hiếu	IP/PR17522	C&S Patent and Law Office	POSCO CO., LTD	
	Ngô Thu Hà	IP/PR17521	MEPAT PATENTANWALTSKANZLEI	FUCHS SE	
1-2026-02186	Trần Thị Thanh Giang	IP/PR17520	Spruson & Ferguson (Asia) Pte Ltd	JUUL LABS, INC.	Filed
	Lê Thị Hồng	IP/PR17519	Y.P. Lee, Mock & Partners	Samsung Display Co., Ltd.	
	Nguyễn Phi Long	IP/PR17518	Lee & Ko IP	LG ENERGY SOLUTION, LTD.	
	Nguyễn Ngọc Hà My	IP/PR17517	Sino-Creativity Intellectual Property Law Firm	SUZHOU RIBO LIFE SCIENCE CO., LTD.	
1-2026-02888	Nguyễn Ngọc Yến	IP/PR17516	NGB Corporation	UACJ CORPORATION	Filed
	Ngô Thị Phương Hoa	IP/PR17515	Dana Patent Law Firm	LG ENERGY SOLUTION, LTD.	
1-2026-02189	Lê Nguyệt Hạ Phượng	IP/PR17514	CCPIT Patent and Trademark Law Office	SHENZHEN ZHONGGE BIOLOGICAL TECHNOLOGY CO., LTD.	Filed
1-2026-00695	Ngô Lệ Quyên	IP/PR17513/CDD	Spruson & Ferguson (Asia) Pte Ltd	ODYSSEY THERAPEUTICS, INC.	Published
1-2025-09849	Ngô Lệ Quyên	IP/PR17512/CDD	Spruson & Ferguson (Asia) Pte Ltd	ODYSSEY THERAPEUTICS, INC.	Published
1-2025-05685	Ngô Lệ Quyên	IP/PR17511/CDD	Spruson & Ferguson (Asia) Pte Ltd	ODYSSEY THERAPEUTICS, INC.	Published
1-2026-02142	Ngô Thu Hà	IP/PR17510	Spruson & Ferguson (Asia) Pte Ltd	"AMGEN RESEARCH (MUNICH) GMBH
 AMGEN INC."	Filed
1-2026-02958	Nguyễn Thùy Linh	IP/PR17509	Spruson & Ferguson (Asia) Pte Ltd	HERMANSON, Terry	Requested
1-2026-02462	Nguyễn Vũ Nam	IP/PR17508	Spruson & Ferguson (Asia) Pte Ltd	RADIANT VISION SYSTEMS, LLC	Filed
1-2026-02459	Nguyễn Thị Thanh Hoài	IP/PR17507	Y.P. Lee, Mock & Partners	HANMI PHARM. CO., LTD.	Filed
1-2026-02965	Ngô Thu Hà	IP/PR17506	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	Requested
1-2026-02802	Trần Thị Hà	IP/PR17505	KORYO IP & LAW	CustomParts Co., Ltd	Requested
1-2026-02076	Nguyễn Thu Trang	IP/PR17504	FPA Patent Attorneys	GILEAD SCIENCES, INC.	Filed
1-2026-02505	Lã Quỳnh Nga	IP/PR17503	MUHANN Patent & Law Firm	SAMSUNG ELECTRONICS CO., LTD.	Requested
1-2026-02264	Ngô Thị Phương Hoa	IP/PR17502	WeThePeople IP & Law Firm	LG ENERGY SOLUTION, LTD.	Filed
	Phạm Hiếu Thắng	IP/PR17501	Dana Patent Law Firm	LG ENERGY SOLUTION, LTD.	
1-2026-02017	Lê Thị Hồng	IP/PR17500/DV	C&S Patent and Law Office	SOLUM CO., LTD.	Requested
	Nguyễn Thị Thu Hiền	IP/PR17499	Công ty Cổ phần Công nghiệp Weldcom	Công ty Cổ phần Công nghiệp Weldcom	
	Lê Thị Hồng	IP/PR17498	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
1-2026-02610	Ngô Lệ Quyên	IP/PR17497	Spruson & Ferguson (Asia) Pte Ltd	FRIESLANDCAMPINA NEDERLAND B.V.	Filed
1-2026-02267	Lã Quỳnh Nga	IP/PR17496	ARENTFOX SCHIFF LLP	OURA HEALTH OY	Requested
	Ngô Thị Phương Hoa	IP/PR17495	IPCJ PATENT & LAW FIRM	LG ENERGY SOLUTION, LTD.	
	Nguyễn Hoàng Anh	IP/PR17494	MIZUKI Intellectual Property Attorneys	EBARA CORPORATION	
1-2026-01988	Lê Thị Hồng	IP/PR17493	Spruson & Ferguson (Asia) Pte Ltd	PURA SCENTS, INC.	Requested
1-2026-02765	Nguyễn Thu Trang	IP/PR17492	Spruson & Ferguson (Asia) Pte Ltd	FRIESLANDCAMPINA NEDERLAND B.V.	Filed
	Lê Quang Hải	IP/PR17491	Spruson & Ferguson (Asia) Pte Ltd	NOKIA TECHNOLOGIES OY	
1-2026-02894	Nguyễn Hậu Sinh	IP/PR17490	F. HOFFMANN-LA ROCHE AG	ISOSTERIX, INC.	Filed
1-2026-02457	Lê Nguyệt Hạ Phượng	IP/PR17489	TNI IP LAW FIRM	"Soonchunhyang University Industry Academy Cooperation Foundation
 MDAI Corp."	Requested
	Nguyễn Phi Long	IP/PR17488	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	
1-2026-02418	Nguyễn Thị Sao Mai	IP/PR17487	Spruson & Ferguson (Asia) Pte Ltd	KAO CORPORATION S.A.	Filed
	Nguyễn Vũ Nam	IP/PR17486	MAEDA & PARTNERS	DAIKIN INDUSTRIES, LTD.	
1-2026-02893	Phạm Hiếu Thắng	IP/PR17485	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	Filed
1-2026-02552	Nguyễn Ngọc Yến	IP/PR17484	Spruson & Ferguson (Asia) Pte Ltd	VOYAGE FOODS, INC.	Filed
1-2026-01985	Nguyễn Thị Mỹ Hương	IP/PR17483/DV	Yusarn Audrey LLC	"SINGAPORE HEALTH SERVICES PTE. LTD.
 NATIONAL UNIVERSITY OF SINGAPORE
 BOEHRINGER INGELHEIM INTERNATIONAL GMBH"	Requested
1-2026-02762	Ngô Thu Hà	IP/PR17482	Spruson & Ferguson (Asia) Pte Ltd	KEMIN INDUSTRIES, INC.	Filed
1-2026-02228	Nguyễn Thị Thanh Hoài	IP/PR17481	Beijing Tian Yuan Law Firm	EPIPLANT CO. LTD.	Filed
	Phạm Thị Cúc - IP	IP/PR17480	BakerHostetler	AMUSE D.O.O.	Abandoned
1-2026-02092	Nguyễn Thị Sao Mai	IP/PR17479	CCPIT Patent and Trademark Law Office	AKESO BIOPHARMA CO., LTD.	Requested
1-2025-06052	Nguyễn Thị Thanh Hoài	IP/PR17478/CDD	Spruson & Ferguson (Asia) Pte Ltd	"HANSOH BIO LLC
 SHANGHAI HANSOH BIOMEDICAL CO., LTD.
 CHANGZHOU HANSOH PHARMACEUTICAL CO., LTD."	Published
1-2026-01882	Nguyễn Thị Sao Mai	IP/PR17477/DV	Spruson & Ferguson (Asia) Pte Ltd	NOEMA PHARMA AG	Requested
1-2026-02726	Ngô Thị Phương Hoa	IP/PR17476	BAE, KIM & LEE IP	LG ENERGY SOLUTION, LTD.	Filed
1-2026-02020	Lã Thị Bích Ngọc	IP/PR17475/DV	Spruson & Ferguson (Asia) Pte Ltd	"CALICO LIFE SCIENCES LLC
 ABBVIE INC."	Requested
